"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,416382,"Deer Creek","OH","Columbus","Franklin County","Columbus",6605,261900,0.00576036866359447,0.0186697782963827,0.0907955018742191,0.0731576729806045,0.0343698726040431,"2019-09","2019-Q3",261900,0,"2019-09"
2019-09-30,417055,"Royal Harbor","FL","Naples-Immokalee-Marco Island","Collier County","Naples",6606,1065900,-0.00411099691675231,-0.0267531044558072,-0.0107656612529002,0.0964577960907973,0.0515154901068688,"2019-01","2019-Q1",1129100,-0.0559737844300771,"2018-09"
2019-09-30,244727,"Kenwood","VA","Roanoke","Roanoke City","Roanoke",6607,76300,-0.00651041666666667,-0.0154838709677419,0.0241610738255034,-0.00967349099959314,-0.0169228633293398,"2008-04","2008-Q2",98000,-0.221428571428571,"2006-04"
2019-09-30,273435,"Dava-Lakeshore","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Tempe",6608,288100,0.00139033715676051,0.00453277545327755,0.0419529837251356,0.0589054910136317,0.0470012183034874,"2019-03","2019-Q1",289200,-0.00380359612724758,"2019-02"
2019-09-30,8382,"Bermuda Run","NC","Winston-Salem","Davie County","Advance",6609,249900,0.00725513905683192,0.0150284321689683,0.101851851851852,0.0375860939860908,0.0151087810067152,"2019-09","2019-Q3",249900,0,"2019-09"
2019-09-30,416996,"Southwest Hillsdale","CA","San Francisco-Oakland-Hayward","San Mateo County","San Mateo",6610,1651400,-0.00864449513747149,-0.0223774567842766,-0.0825045835879771,0.0508158414393314,0.0695533948987714,"2018-04","2018-Q2",1819500,-0.0923880186864523,"2017-11"
2019-09-30,762869,"Snowball Gate","PA","Philadelphia-Camden-Wilmington","Bucks County","Levittown",6611,338800,0.0065359477124183,0.0285367334547662,0.0911433172302737,0.0396037554641737,0.0208605441729466,"2019-09","2019-Q3",338800,0,"2019-09"
2019-09-30,270413,"Jackson Area","NM","Albuquerque","Bernalillo County","Albuquerque",6612,180500,0.00277777777777778,0.0117713004484305,0.0249858035207269,0.0424821973516294,0.00714256100963739,"2007-08","2007-Q3",180800,-0.00165929203539823,"2007-07"
2019-09-30,272774,"Anthony Wayne","IN","Fort Wayne","Allen County","Fort Wayne",6613,66200,0.0106870229007634,0.0458135860979463,0.135506003430532,0.056472023292687,0.0147199432648506,"2019-09","2019-Q3",66200,0,"2019-09"
2019-09-30,276041,"Westwood","IA","Des Moines-West Des Moines","Polk County","Des Moines",6614,253300,-0.0035405192761605,-0.0182170542635659,0.0209592906086256,0.0529527249091073,0.0332125298192711,"2019-03","2019-Q1",259700,-0.0246438197920678,"2019-01"
2019-09-30,761227,"Paradise Island","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Treasure Island",6615,373500,0.00187768240343348,-0.00320256204963971,0.0188216039279869,0.0611437705250402,0.0482740458565178,"2006-04","2006-Q2",407400,-0.0832106038291605,"2005-08"
2019-09-30,763128,"Downtown Jewel","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Lake Worth",6616,191000,0.0192102454642476,0.0324324324324324,0.0833806012478729,0.114257884908271,0.0916077839943925,"2006-04","2006-Q2",232200,-0.177433247200689,"2005-06"
